id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait
ecard1-50,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Shin-ichi Yoshida,Kingler,50,['Water'],Pokémon,['Stage 1'],,80,Krabby,,,"[{'name': 'Bubble', 'cost': ['Water'], 'convertedEnergyCost': 1, 'damage': '10', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Giant Claw', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[99],{'unlimited': 'Legal'},,,,
ecard1-51,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Shin-ichi Yoshida,Machamp,51,['Fighting'],Pokémon,['Stage 2'],,120,Machoke,,"[{'name': 'Terraforming', 'text': ""Once during your turn (before your attack), you may look at the top 4 cards of your deck and rearrange them as you like. This power can't be used if Machamp is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Iron Fist', 'cost': ['Fighting', 'Fighting', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '50+', 'text': 'Count the number of Pokémon you have in play with damage counters on them. Flip a coin. If heads, this attack does 50 damage plus 10 more damage for each of those Pokémon.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[68],{'unlimited': 'Legal'},,,,
ecard1-52,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Mitsuhiro Arita,Magby,52,['Fire'],Pokémon,['Baby'],,30,Magmar,['Magmar'],,"[{'name': 'Energy Catch', 'cost': ['Fire'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, put a basic Energy card from your discard pile into your hand.'}]",,['Colorless'],1,Rare,,[240],{'unlimited': 'Legal'},,"[""If your Active Pokémon is a Baby Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]",,
ecard1-53,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kagemaru Himeno,Meganium,53,['Grass'],Pokémon,['Stage 2'],,100,Bayleef,,,"[{'name': 'Sleep Powder', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'The Defending Pokémon is now Asleep.'}, {'name': 'Solarbeam', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3,Rare,,[154],{'unlimited': 'Legal'},"[{'type': 'Water', 'value': '-30'}]",,,
ecard1-54,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Hajime Kusajima,Meganium,54,['Grass'],Pokémon,['Stage 2'],,100,Bayleef,,"[{'name': 'Soothing Aroma', 'text': ""Once during your turn (before your attack), you may flip a coin. If heads, remove 1 damage counter from each of your Pokémon that has any. This power can't be used if Meganium is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Poisonpowder', 'cost': ['Grass', 'Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '40', 'text': 'The Defending Pokémon is now Poisoned.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[154],{'unlimited': 'Legal'},"[{'type': 'Water', 'value': '-30'}]",,,
ecard1-55,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Hajime Kusajima,Mew,55,['Psychic'],Pokémon,['Basic'],,50,,,,"[{'name': 'Super Psywave', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': ""Choose 1 of your opponent's Pokémon. Count the number of Energy cards attached to that Pokémon. Put that many damage counters on the Pokémon.""}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1,Rare,,[151],{'unlimited': 'Legal'},,,,
ecard1-56,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kimiya Masago,Mewtwo,56,['Psychic'],Pokémon,['Basic'],,70,,,,"[{'name': 'Hypnosis', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Asleep.'}, {'name': 'Psychic', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '20+', 'text': 'This attack does 20 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[150],{'unlimited': 'Legal'},,,,
ecard1-57,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Atsuko Nishida,Ninetales,57,['Fire'],Pokémon,['Stage 1'],,80,Vulpix,,,"[{'name': 'Mislead', 'cost': ['Fire', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': 'Flip 2 coins. If either of them is heads, the Defending Pokémon is now Confused.'}, {'name': 'Ethereal Flame', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': 'Discard all Fire Energy cards attached to Ninetales. This attack does 30 damage plus 20 more damage for each card discarded this way.'}]","[{'type': 'Water', 'value': '×2'}]",['Colorless'],1,Rare,,[38],{'unlimited': 'Legal'},,,,
ecard1-58,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Atsuko Nishida,Pichu,58,['Lightning'],Pokémon,['Baby'],,30,,['Pikachu'],,"[{'name': 'Energy Patch', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Take a basic Energy card attached to 1 of your Pokémon and attach it to another of your Pokémon.'}]",,['Colorless'],1,Rare,,[172],{'unlimited': 'Legal'},,"[""If your Active Pokémon is a Baby Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]",,
ecard1-59,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Tomokazu Komiya,Pidgeot,59,['Colorless'],Pokémon,['Stage 2'],,80,Pidgeotto,,"[{'name': 'Beating Wings', 'text': ""Once during your turn (before your attack), if Pidgeot is your Active Pokémon, you may shuffle 1 of your Benched Pokémon and all cards attached to it into your deck. This power can't be used if Pidgeot is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Sharp Beak', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '20+', 'text': 'Flip a coin. If heads, this attack does 20 damage plus 30 more damage.'}]","[{'type': 'Lightning', 'value': '×2'}]",,,Rare,,[18],{'unlimited': 'Legal'},"[{'type': 'Fighting', 'value': '-30'}]",,,
ecard1-60,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Yuka Morii,Poliwrath,60,['Water'],Pokémon,['Stage 2'],,100,Poliwhirl,,"[{'name': 'Plunge', 'text': 'Once during your turn (before your attack), if Poliwrath is on your Bench, you may flip a coin. If heads, take all Energy cards attached to your Active Pokémon, if any, and attach them to Poliwrath. Then switch Poliwrath with your Active Pokémon.', 'type': 'Poké-Power'}]","[{'name': 'Water Punch', 'cost': ['Water', 'Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '40+', 'text': 'Flip a number of coins equal to the amount of Water Energy attached to Poliwrath. This attack does 40 damage plus 10 more damage for each heads.'}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[62],{'unlimited': 'Legal'},,,,
ecard1-61,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Atsuko Nishida,Raichu,61,['Lightning'],Pokémon,['Stage 1'],,80,Pikachu,,,"[{'name': 'Plasma', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': 'If there are any Lightning Energy cards in your discard pile, flip a coin. If heads, attach 1 of them to Raichu.'}, {'name': 'Shock Bolt', 'cost': ['Lightning', 'Lightning', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': 'Discard all Lightning Energy cards attached to Raichu or this attack does nothing.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1,Rare,,[26],{'unlimited': 'Legal'},,,,
ecard1-62,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kagemaru Himeno,Rapidash,62,['Fire'],Pokémon,['Stage 1'],,70,Ponyta,,,"[{'name': 'Overrun', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ""If your opponent has any Benched Pokémon, flip a coin. If heads, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {'name': 'Flame Tail', 'cost': ['Fire', 'Fire', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ''}]","[{'type': 'Water', 'value': '×2'}]",,,Rare,,[78],{'unlimited': 'Legal'},,,,
ecard1-63,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kimiya Masago,Skarmory,63,['Metal'],Pokémon,['Basic'],,60,,,,"[{'name': 'Steel Beak', 'cost': ['Metal', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin. If heads, this attack does 20 damage plus 10 more damage.'}, {'name': 'Air Cutter', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[227],{'unlimited': 'Legal'},"[{'type': 'Grass', 'value': '-30'}]",,,
ecard1-64,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Hiroaki Ito,Typhlosion,64,['Fire'],Pokémon,['Stage 2'],,100,Quilava,,,"[{'name': 'Quick Attack', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': 'Flip a coin. If heads, this attack does 10 damage plus 20 more damage.'}, {'name': 'Thermal Blast', 'cost': ['Fire', 'Fire', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon, if any. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[157],{'unlimited': 'Legal'},,,,
ecard1-65,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,K. Hoshiba,Typhlosion,65,['Fire'],Pokémon,['Stage 2'],,100,Quilava,,"[{'name': 'Heat Up', 'text': ""Once during your turn (before your attack), you may count the total number of Energy cards attached to all of your Pokémon and all of your opponent's Pokémon. If your opponent has more total Energy cards attached, you may search your deck for 1 Fire Energy card and attach it to 1 of your Benched Pokémon, if any. Shuffle your deck afterward. This power can't be used if Typhlosion is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Super Singe', 'cost': ['Fire', 'Fire', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '50', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Burned.'}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[157],{'unlimited': 'Legal'},,,,
ecard1-66,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kimiya Masago,Tyranitar,66,['Darkness'],Pokémon,['Stage 2'],,120,Pupitar,,"[{'name': 'Dark Aura', 'text': 'All Energy attached to Tyranitar is Darkness Energy instead of its usual type.', 'type': 'Poké-Body'}]","[{'name': 'Stamp', 'cost': ['Darkness', 'Darkness', 'Darkness', 'Darkness'], 'convertedEnergyCost': 4, 'damage': '50+', 'text': ""Flip a coin. If heads, this attack does 50 damage plus 10 more damage and does 10 damage to each of your opponent's Benched Pokémon, if any. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4,Rare,,[248],{'unlimited': 'Legal'},"[{'type': 'Psychic', 'value': '-30'}]",,,
ecard1-67,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Atsuko Nishida,Venusaur,67,['Grass'],Pokémon,['Stage 2'],,100,Ivysaur,,,"[{'name': 'Leech Seed', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'If this attack damages the Defending Pokémon (after applying Weakness and Resistance), remove 1 damage counter from Venusaur, if it has any.'}, {'name': 'Fury Strikes', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30×', 'text': 'Flip 3 coins. This attack does 30 damage times the number of heads.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[3],{'unlimited': 'Legal'},,,,
ecard1-68,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Shin-ichi Yoshikawa,Venusaur,68,['Grass'],Pokémon,['Stage 2'],,100,Ivysaur,,"[{'name': 'Harvest Bounty', 'text': ""Once during your turn (before your attack), if you attach an Energy card to your Active Pokémon as part of your turn, you may attach an additional Energy card to that Pokémon at the same time. This power can't be used if Venusaur is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Body Slam', 'cost': ['Grass', 'Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '40', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[3],{'unlimited': 'Legal'},,,,
ecard1-69,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Miki Tanaka,Vileplume,69,['Grass'],Pokémon,['Stage 2'],,90,Gloom,,"[{'name': 'Poison Pollen', 'text': ""Once during your turn (before your attack), you may flip a coin. If heads, the Defending Pokémon is now Poisoned. This power can't be used if Vileplume is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Petal Dance', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30×', 'text': 'Flip 3 coins. This attack does 30 damage times the number of heads. Vileplume is now Confused.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[45],{'unlimited': 'Legal'},,,,
ecard1-70,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Hajime Kusajima,Weezing,70,['Grass'],Pokémon,['Stage 1'],,80,Koffing,,,"[{'name': 'Foul Gas', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Confused.'}, {'name': 'Misfire', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': 'Flip a coin. If tails, put 6 damage counters on Weezing.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2,Rare,,[110],{'unlimited': 'Legal'},,,,
ecard1-71,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Mitsuhiro Arita,Bayleef,71,['Grass'],Pokémon,['Stage 1'],,70,Chikorita,['Meganium'],,"[{'name': 'Mysterious Powder', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Confused.'}, {'name': 'Razor Leaf', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1,Uncommon,,[153],{'unlimited': 'Legal'},"[{'type': 'Water', 'value': '-30'}]",,,
ecard1-72,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Sumiyoshi Kizuki,Chansey,72,['Colorless'],Pokémon,['Basic'],,90,,['Blissey'],,"[{'name': 'Bind Wound', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': 'Flip a coin. If heads, remove 2 damage counters from 1 of your Pokémon (1 if it has only 1).'}, {'name': 'Dogpile', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '10×', 'text': 'Count the number of Pokémon on your Bench. This attack does 10 times that number of damage to the Defending Pokémon, and Chansey does 10 times that number of damage to itself.'}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless']",2,Uncommon,,[113],{'unlimited': 'Legal'},,,,
ecard1-73,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Tomokazu Komiya,Charmeleon,73,['Fire'],Pokémon,['Stage 1'],,80,Charmander,['Charizard'],,"[{'name': 'Double Scratch', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20×', 'text': 'Flip 2 coins. This attack does 20 damage times the number of heads.'}, {'name': 'Flamethrower', 'cost': ['Fire', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Discard 1 Fire Energy card attached to Charmeleon.'}]","[{'type': 'Water', 'value': '×2'}]",['Colorless'],1,Uncommon,,[5],{'unlimited': 'Legal'},,,,
ecard1-74,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kagemaru Himeno,Croconaw,74,['Water'],Pokémon,['Stage 1'],,80,Totodile,['Feraligatr'],,"[{'name': 'Tackle', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Take Down', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': 'Croconaw does 10 damage to itself.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1,Uncommon,,[159],{'unlimited': 'Legal'},,,,
ecard1-75,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Kagemaru Himeno,Dragonair,75,['Colorless'],Pokémon,['Stage 1'],,70,Dratini,['Dragonite'],,"[{'name': 'Spiral Wave', 'cost': ['Lightning', 'Water'], 'convertedEnergyCost': 2, 'damage': '20×', 'text': 'Flip a coin until you get tails. This attack does 20 damage times the number of heads.'}]",,"['Colorless', 'Colorless']",2,Uncommon,,[148],{'unlimited': 'Legal'},,,,
ecard1-76,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Hiroaki Ito,Electabuzz,76,['Lightning'],Pokémon,['Basic'],,60,,['Electivire'],,"[{'name': 'Energy Draw', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a basic Energy card and attach it to Electabuzz. Shuffle your deck afterward.'}, {'name': 'Reflect Energy', 'cost': ['Lightning', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'If you have any Benched Pokémon and if there are any basic Energy cards attached to Electabuzz, take 1 of those Energy cards and attach it to 1 of those Pokémon.'}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless']",2,Uncommon,,[125],{'unlimited': 'Legal'},,,,
ecard1-77,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Mitsuhiro Arita,Flaaffy,77,['Lightning'],Pokémon,['Stage 1'],,80,Mareep,['Ampharos'],,"[{'name': 'Headbutt', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Thunder Jolt', 'cost': ['Lightning', 'Lightning', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Flip a coin. If tails, Flaaffy does 20 damage to itself.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1,Uncommon,,[180],{'unlimited': 'Legal'},,,,
ecard1-78,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Yuichi Sawayama,Gloom,78,['Grass'],Pokémon,['Stage 1'],,70,Oddish,"['Vileplume', 'Bellossom']",,"[{'name': 'Razor Leaf', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Foul Odor', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30', 'text': 'Both the Defending Pokémon and Gloom are now Confused (after doing damage).'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1,Uncommon,,[44],{'unlimited': 'Legal'},,,,
ecard1-79,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Aya Kusube,Graveler,79,['Fighting'],Pokémon,['Stage 1'],,80,Geodude,['Golem'],,"[{'name': 'Rock Hurl', 'cost': ['Fighting', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ""Don't apply Resistance.""}, {'name': 'Rock Slide', 'cost': ['Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30', 'text': ""Choose 2 of your opponent's Benched Pokémon (1 if he or she has only 1). This attack does 10 damage to each of those Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3,Uncommon,,[75],{'unlimited': 'Legal'},,,,
ecard1-80,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Yukiko Baba,Haunter,80,['Psychic'],Pokémon,['Stage 1'],,70,Gastly,['Gengar'],,"[{'name': 'Nightmare', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'The Defending Pokémon is now Asleep.'}, {'name': 'Dream Eater', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '50', 'text': ""If the Defending Pokémon isn't Asleep, this attack does nothing.""}]","[{'type': 'Darkness', 'value': '×2'}]",['Colorless'],1,Uncommon,,[93],{'unlimited': 'Legal'},"[{'type': 'Fighting', 'value': '-30'}]",,,
ecard1-81,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Atsuko Nishida,Hitmonlee,81,['Fighting'],Pokémon,['Basic'],,60,,,,"[{'name': 'Smash Kick', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Stretch Kick', 'cost': ['Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': ""If your opponent has any Benched Pokémon, choose 1 of them and this attack does 30 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2,Uncommon,,[106],{'unlimited': 'Legal'},,,,
ecard1-82,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Miki Tanaka,Ivysaur,82,['Grass'],Pokémon,['Stage 1'],,80,Bulbasaur,['Venusaur'],,"[{'name': 'Sleep Seed', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'The Defending Pokémon is now Asleep.'}, {'name': 'Vine Whip', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1,Uncommon,,[2],{'unlimited': 'Legal'},,,,
ecard1-83,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Sumiyoshi Kizuki,Jynx,83,['Water'],Pokémon,['Basic'],,60,,,,"[{'name': 'Ice Punch', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Powder Snow', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '20', 'text': 'The Defending Pokémon is now Asleep.'}]","[{'type': 'Metal', 'value': '×2'}]",['Colorless'],1,Uncommon,,[124],{'unlimited': 'Legal'},,,,
ecard1-84,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Hajime Kusajima,Kadabra,84,['Psychic'],Pokémon,['Stage 1'],,70,Abra,['Alakazam'],,"[{'name': 'Energy Recall', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Attach 2 basic Energy cards from your discard pile to Kadabra (1 if you have only 1).'}, {'name': 'Confuse Ray', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Confused.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1,Uncommon,,[64],{'unlimited': 'Legal'},,,,
ecard1-85,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Shin-ichi Yoshida,Machoke,85,['Fighting'],Pokémon,['Stage 1'],,80,Machop,['Machamp'],,"[{'name': 'Punch', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Mega Kick', 'cost': ['Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1,Uncommon,,[67],{'unlimited': 'Legal'},,,,
ecard1-86,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Miki Tanaka,Magmar,86,['Fire'],Pokémon,['Basic'],,60,,['Magmortar'],,"[{'name': 'Flaming Punch', 'cost': ['Fire', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Burned.'}, {'name': 'Thrash', 'cost': ['Fire', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30+', 'text': 'Flip a coin. If heads this attack does 30 damage plus 10 more damage. If tails, Magmar does 10 damage to itself.'}]","[{'type': 'Water', 'value': '×2'}]",['Colorless'],1,Uncommon,,[126],{'unlimited': 'Legal'},,,,
ecard1-87,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Yuichi Sawayama,Metapod,87,['Grass'],Pokémon,['Stage 1'],,60,Caterpie,['Butterfree'],"[{'name': 'Exoskeleton', 'text': 'All damage done by attacks to Metapod is reduced by 20 (after applying Weakness and Resistance).', 'type': 'Poké-Body'}]","[{'name': 'Rollout', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2,Uncommon,,[11],{'unlimited': 'Legal'},,,,
ecard1-88,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Tomokazu Komiya,Pidgeotto,88,['Colorless'],Pokémon,['Stage 1'],,60,Pidgey,['Pidgeot'],,"[{'name': 'Whirlwind', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches the Defending Pokémon with it. (Do the damage before switching the Pokémon.)'}]","[{'type': 'Lightning', 'value': '×2'}]",,,Uncommon,,[17],{'unlimited': 'Legal'},"[{'type': 'Fighting', 'value': '-30'}]",,,
ecard1-89,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Yuka Morii,Poliwhirl,89,['Water'],Pokémon,['Stage 1'],,70,Poliwag,"['Poliwrath', 'Politoed']",,"[{'name': 'Punch', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Bubblebeam', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1,Uncommon,,[61],{'unlimited': 'Legal'},,,,
ecard1-90,Expedition Base Set,E-Card,WOTC,Second,9/15/2002,Yukiko Baba,Pupitar,90,['Fighting'],Pokémon,['Stage 1'],,70,Larvitar,['Tyranitar'],,"[{'name': 'Headbutt', 'cost': ['Fighting'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Water', 'value': '×2'}]",['Colorless'],1,Uncommon,,[247],{'unlimited': 'Legal'},,,,
