card_id,attack_name,description,damage
neo1-44,Blizzard,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon; if tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",30
neo1-45,Surf,,30
neo1-45,Earthquake,Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),60
neo1-46,Ember,Discard 1 Fire Energy card attached to Quilava in order to use this attack.,30
neo1-46,Fire Wind,"If your opponent has any Benched Pokémon, choose 1 of them. Flip 2 coins. For each heads, this attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance.)",20
neo1-47,Smokescreen,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",20
neo1-47,Char,"If the Defending Pokémon doesn't have a Char counter on it, flip a coin. If heads, put a Char counter on it. A Char counter requires your opponent to flip a coin after every turn. If tails, put 2 damage counters on the Pokémon with that Char counter. (Char counters stay on the Pokémon as long as it's in play.)",30
neo1-48,Bubble,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo1-48,Mud Splash,"If your opponent has any Benched Pokémon, choose 1 of them and flip a coin. If heads, this attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",30
neo1-49,Poisonpowder,The Defending Pokémon is now Poisoned.,10
neo1-49,Stun Spore,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo1-50,Petal Dance,Flip 3 coins. This attack does 30 damage times the number of heads. Sunflora is now Confused (after doing damage).,30×
neo1-51,Poison Barb,The Defending Pokémon is now Poisoned.,10
neo1-52,Prophecy,Look at the top 3 cards of either player's deck and rearrange them as you like.,
neo1-52,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused.",30
neo1-53,Tackle,,10
neo1-53,Deflector,"During your opponent's next turn, whenever Chikorita takes damage, divide that damage in half (rounded down to the nearest 10). (Any other effects still happen.)",
neo1-54,Growl,"If the Defending Pokémon attacks Chikorita during your opponent's next turn, any damage done to Chikorita is reduced by 10 (before applying Weakness and Resistance). (Benching or evolving either Pokémon ends this effect.)",
neo1-54,Razor Leaf,,20
neo1-55,Supersonic,"Flip a coin. If heads, the Defending Pokémon is now Confused.",
neo1-55,Flail,Does 10 damage times the number of damage counters on Chinchou.,10×
neo1-56,Leer,"Flip a coin. If heads, the Defending Pokémon can't attack Cyndaquil during your opponent's next turn. (Benching or evolving either Pokémon ends this effect.)",
neo1-56,Swift,"This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",20
neo1-57,Fireworks,"Flip a coin. If tails, discard 1 Energy card attached to Cyndaquil.",20
neo1-57,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
neo1-58,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Girafarig.",10
neo1-58,Psybeam,"Flip a coin. If heads, the Defending Pokémon is now Confused.",20
neo1-59,Poison Sting,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",10
neo1-59,Slash,,20
neo1-60,Hypnosis,The Defending Pokémon is now Asleep.,
neo1-60,Peck,,20
neo1-61,Hop,,10
neo1-61,Sprout,Search your deck for a Basic Pokémon named Hoppip and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
neo1-62,Fin Slap,"If an attack damaged Horsea during your opponent's last turn, this attack does 20 damage plus 10 more damage. If not, this attack does 20 damage.",20+
neo1-63,Supersonic,"Flip a coin. If heads, the Defending Pokémon is now Confused.",
neo1-63,Comet Punch,Flip 4 coins. This attack does 10 damage times the number of heads.,
neo1-64,Undulate,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Mantine.",20
neo1-65,Static Electricity,"For each Mareep in play, you may search your deck for a Lightning Energy card and attach it to Mareep. Shuffle your deck afterward.",
neo1-65,Thundershock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
neo1-66,Defense Curl,"Flip a coin. If heads, prevent all damage done to Marill during your opponent's next turn. (Any other effects of attacks still happen.)",
neo1-66,Bubble Bomb,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, Marill does 10 damage to itself.",30
neo1-67,Peck,,10
neo1-67,Telekinesis,Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.),
neo1-68,Hide,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Oddish.",
neo1-68,Absorb,"Remove a number of damage counters from Oddish equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Oddish has fewer damage counters than that, remove all of them.",20
neo1-69,Screech,"Until the end of your next turn, if an attack damages the Defending Pokémon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokémon.",
neo1-69,Rage,Does 10 damage plus 10 more damage for each damage counter on Onix.,10+
neo1-70,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
neo1-70,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Pikachu.",20
neo1-71,Fury Swipes,Flip 3 coins. This attack does 10 damage times the number of heads.,10×
neo1-72,Withdraw,"Flip a coin. If heads, prevent all damage done to Shuckle during your opponent's next turn. (Any other effects of attacks still happen.)",
neo1-72,Wrap,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
neo1-73,Psyshock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo1-73,Water Gun,Does 10 damage plus 10 more damage for each Water Energy attached to Slowpoke but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,10+
neo1-74,Roar,"Flip a coin. If heads and if your opponent has any Benched Pokémon, he of she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",
neo1-74,Lick,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo1-75,Scary Face,"Flip a coin. If heads, until the end of your opponent's next turn, the Defending Pokémon can't attack or retreat.",
neo1-75,String Shot,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo1-76,Stomp,"Flip a coin. If heads, this attack does 20 damage plus 10 more damage; if tails, this attack does 20 damage.",20+
neo1-76,Mystifying Horns,"Flip a coin. If heads, the Defending Pokémon is now Confused.",20
neo1-77,Flail,Does 10 damage times the number of damage counters on Sudowoodo.,10×
neo1-77,Rock Throw,,30
neo1-78,Growth,"Flip a coin. If heads, you may attach up to 2 Grass Energy cards from your hand to Sunkern.",
neo1-78,Mega Drain,"Remove a number of damage counters from Sunkern equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Sunkern has fewer damage counters than that, remove all of them.",30
neo1-79,Powder Snow,The Defending Pokémon is now Asleep.,10
neo1-80,Bite,,10
neo1-80,Rage,Does 10 damage plus 10 more damage for each damage counter on Totodile.,10+
neo1-81,Leer,"Flip a coin. If heads, the Defending Pokémon can't attack Totodile during your opponent's next turn. (Benching or evolving either Pokémon ends this effect.)",
neo1-81,Fury Swipes,Flip 3 coins. This attack does 10 damage times the number of heads.,10×
neo1-82,Amnesia,Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.,
neo1-82,Slam,Flip 2 coins. This attack does 20 damage times the number of heads.,20×
neo2-1,Bite,,20
neo2-1,Psychic,Does 30 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.,30+
neo2-2,Rapid Spin,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. (Do the damage before switching the Pokémon.)",30
neo2-3,Detect,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Hitmontop.",
neo2-3,Triple Kick,Flip 3 coins. This attack does 30 damage times the number of heads.,30×
neo2-4,Crunch,"Until the end of your next turn, if an attack damages the Defending Pokémon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokémon.",30
neo2-4,Flamethrower,Discard 1 Fire Energy card attached to Houndoom or this attack does nothing.,50
neo2-5,Smog,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",10
neo2-5,Collect Fire,"If there are any Fire Energy cards in your discard pile, choose 1 of them and attach it to Houndour.",20
neo2-6,Slash,,20
neo2-6,Hydrocutter,Flip a number of coins equal to the number of Energy cards attached to Kabutops. This attack does 40 damage times the number of heads. You can't flip more than 3 coins in this way.,40×
neo2-7,Lock-on,"During your next turn, treat any tails flipped when using Magnemite's Electric Bolt attack as if they were heads. (Benching or evolving either Pokémon ends this effect.)",
neo2-7,Electric Bolt,"Flip 2 coins. If both are heads, the Defending Pokémon is now Paralyzed. If either of them is tails, this attack does nothing (not even damage).",50
neo2-8,Doubleslap,Flip 2 coins. This attack does 40 damage times the number of heads.,40×
neo2-9,Corkscrew Punch,,30
neo2-9,Submission,Poliwrath does 20 damage to itself.,70
neo2-10,False Swipe,Does damage equal to half the Defending Pokémon's remaining HP (rounded down to the nearest 10).,
neo2-10,Double Claw,Flip 2 coins. This attack does 20 damage times the number of heads.,20+
neo2-11,Sketch,"If the Defending Pokémon attacked last turn, and Smeargle was in play during that attack, Smeargle copies that attack except for its Energy costs and anything else required in order to use that attack.",
neo2-12,Slam,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
neo2-12,Trample,"For each Benched Pokémon in play (yours and your opponent's), flip a coin. If heads, this attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",50
neo2-13,Bite,,20
neo2-13,Feint Attack,,
neo2-14,Hidden Power,,10
neo2-15,Headpress,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing (not even damage).",20
neo2-15,Double Lariat,Flip 2 coins. This attack does 40 damage times the number of heads.,40×
neo2-16,Counter,"If an attack damages Wobbuffet during your opponent's next turn (even if Wobbuffet is Knocked Out), flip a coin. If heads, Wobbuffet attacks the Defending Pokémon for an equal amount of damage.",
neo2-17,Shockwave,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance. Then, if your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon.",
neo2-17,Swift,"This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",30
neo2-18,Triple Poison,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. Your opponent now puts 3 damage counters on it instead of 1 after each player's turn (even if it was already Poisoned).",10
neo2-18,Pin Missile,Flip 4 coins. This attack does 20 damage times the number of heads.,20×
neo2-19,Magic Dust,"Flip a coin. If heads, the Defending Pokémon is now either Asleep, Confused, Paralyzed, or Poisoned (your choice).",20
neo2-19,Hyper Reverse,"Does 10 damage times the number of Energy attached to the Defending Pokémon. After doing damage, remove a number of damage counters from Butterfree equal to the amount of damage done to the Defending Pokémon (after applying Weakness and Resistance).",
neo2-20,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
neo2-20,Psybeam,"Flip a coin. If heads, the Defending Pokémon is now Confused.",30
neo2-21,Rapid Spin,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. (Do the damage before switching the Pokémon.)",30
neo2-22,Detect,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Hitmontop.",
neo2-22,Triple Kick,Flip 3 coins. This attack does 30 damage times the number of heads.,30×
neo2-23,Crunch,"Until the end of your next turn, if an attack damages the Defending Pokémon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokémon.",30
neo2-23,Flamethrower,Discard 1 Fire Energy card attached to Houndoom or this attack does nothing.,50
neo2-24,Smog,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",10
neo2-24,Collect Fire,"If there are any Fire Energy cards in your discard pile, choose 1 of them and attach it to Houndour.",20
neo2-25,Slash,,20
neo2-25,Hydrocutter,Flip a number of coins equal to the number of Energy cards attached to Kabutops. This attack does 40 damage times the number of heads. You can't flip more than 3 coins in this way.,40×
neo2-26,Lock-on,"During your next turn, treat any tails flipped when using Magnemite's Electric Bolt attack as if they were heads. (Benching or evolving either Pokémon ends this effect.)",
neo2-26,Electric Bolt,"Flip 2 coins. If both are heads, the Defending Pokémon is now Paralyzed. If either of them is tails, this attack does nothing (not even damage).",50
neo2-27,Doubleslap,Flip 2 coins. This attack does 40 damage times the number of heads.,40×
neo2-28,Corkscrew Punch,,30
neo2-28,Submission,Poliwrath does 20 damage to itself.,70
neo2-29,False Swipe,Does damage equal to half the Defending Pokémon's remaining HP (rounded down to the nearest 10).,
neo2-29,Double Claw,Flip 2 coins. This attack does 20 damage times the number of heads.,20+
neo2-30,Sketch,"If the Defending Pokémon attacked last turn, and Smeargle was in play during that attack, Smeargle copies that attack except for its Energy costs and anything else required in order to use that attack.",
neo2-31,Slam,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
neo2-31,Trample,"For each Benched Pokémon in play (yours and your opponent's), flip a coin. If heads, this attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",50
neo2-32,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
neo2-32,Pursuit,"During your opponent's next turn, if the Defending Pokémon tries to retreat, do 10 damage to it. (Don't apply Weakness and Resistance.)",30
neo2-33,Hidden Power,,10
neo2-34,Headpress,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing (not even damage).",20
neo2-34,Double Lariat,Flip 2 coins. This attack does 40 damage times the number of heads.,40×
neo2-35,Counter,"If an attack damages Wobbuffet during your opponent's next turn (even if Wobbuffet is Knocked Out), flip a coin. If heads, Wobbuffet attacks the Defending Pokémon for an equal amount of damage.",
neo2-36,Shockwave,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance. Then, if your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon.",
neo2-36,Swift,"This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",30
neo2-37,Recover,Discard 1 Water Energy card attached to Corsola or this attack does nothing. Remove all damage counters from Corsola.,
neo2-37,Spike Cannon,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
neo2-38,Smash Kick,,10
neo2-39,Bite,,10
neo2-39,Plunder,"Before doing damage, discard all Trainer cards attached to the Defending Pokémon (before they affect the damage).",20
neo2-41,Secrete Poison,"During your opponent's next turn, whenever your opponent's attack damages Kakuna (even if Kakuna is Knocked Out), your opponent's Active Pokémon is now Poisoned and Kakuna does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",
neo2-42,Harden,"During your opponent's next turn, whenever 20 or less damage is done to Metapod (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen).",
neo2-42,Hatch,"Flip a coin. If heads, remove all damage counters from Metapod. Then, search your deck for a card that evolves from Metapod and attach that card to Metapod. This counts as evolving Metapod. Shuffle your deck afterward.",
neo2-43,Squeeze,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage and the Defending Pokémon is now Paralyzed. If tails, this attack does 10 damage.",10+
neo2-43,Spike Barrage,Flip a number of coins equal to the number of Water Energy attached to Omastar. This attack does 20 damage plus 20 more damage for each heads.,20+
neo2-44,Belly Drum,"Put 3 damage counters on Poliwhirl. If this doesn't Knock Out Poliwhirl, search your deck for 2 Basic Energy cards and attach them to Poliwhirl. Shuffle your deck afterward.",
neo2-44,Water Gun,Does 30 damage plus 10 more damage for each Water Energy attached to Poliwhirl but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,30+
neo2-45,Skull Bash,,20
neo2-45,Dust Devil,Does 10 damage to each non-Fighting Pokémon in play. Don't apply Weakness and Resistance.,
neo2-46,Fury Cutter,"Flip 4 coins. This attack does 10 damage plus 10 more damage if exactly 1 is heads, or 20 more damage if exactly 2 are heads, or 40 more damage if exactly 3 are heads, or 80 more damage if all 4 are heads.",10+
neo2-47,Hidden Power,,10
neo2-48,Hidden Power,,10
neo2-49,Hidden Power,,10
neo2-50,Hidden Power,,10
neo2-51,Hidden Power,,10
neo2-52,Energy Cycle,"Flip a coin. If heads, choose 1 Energy card attached to the Defending Pokémon and 1 of your opponent's Benched Pokémon. Attach that Energy card to that Pokémon.",
neo2-52,Super Psy,,50
neo2-53,Spin Tackle,Caterpie does 10 damage to itself.,20
neo2-54,Glare,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo2-55,Rolling Tackle,,20
neo2-56,Work Together,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage for each Omanyte, Omastar, Kabuto, and Kabutops on your Bench.",10+
neo2-57,Bite,,10
neo2-58,Thunder Jolt,"Flip a coin. If tails, Mareep does 10 damage to itself.",30
neo2-59,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused",10
neo2-60,Bind,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo2-61,Burst,"Flip a coin. If heads, Pineco does 40 damage to itself and 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Flip a coin. If tails, this attack does nothing (not even damage).",40
neo2-62,Rollout,,10
neo2-62,Hypnosis,The Defending Pokémon is now Asleep.,
neo2-63,Scout,Look at your opponent's hand.,
neo2-63,Tackle,,20
neo2-64,Poison Sting,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",20
neo2-65,Scratch,,10
neo2-65,Nap Time,Remove all damage counters from Teddiursa. Teddiursa is now Asleep.,
neo2-66,Smash Punch,"Flip a coin. If tails, this attack does nothing.",30
neo2-67,Hidden Power,,10
neo2-68,Hidden Power,,10
neo2-69,Hidden Power,,10
neo2-70,Spike Stab,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. If tails, this attack does nothing (not even damage).",20
neo2-71,Slime,"If an attack would do damage to Wooper during your opponent's next turn, your opponent flips a coin. If tails, prevent all damage to Wooper from that attack. (Any other effects of that attack happen.)",
neo2-71,Tail Slap,,20
neo3-1,Attract Current,"Flip 3 coins. For each heads, you may search your deck for a Lightning Energy card and attach it to 1 of your Lightning Pokémon. Shuffle your deck afterward.",20
neo3-1,Gigavolt,"Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, this attack does 40 damage and the Defending Pokémon is now Paralyzed.",40+
neo3-2,Body Slam,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
neo3-3,Psychic Damage,"Flip 3 coins. For each heads, put 1 damage counter on the Defending Pokémon.",
neo3-4,Triggered Poison,"If your opponent attaches an Energy card to the Defending Pokémon during his or her next turn, that Pokémon becomes Poisoned.",20
neo3-4,Cross Attack,"Flip 4 coins. This attack does 20 damage times the number of heads. If you get 2 or more heads, the Defending Pokémon is now Confused.",20×
neo3-5,Present,"Flip 3 coins. If exactly 1 is heads, this attack does 40 damage. If exactly 2 are heads, remove 3 damage counters from the Defending Pokémon. If the Defending Pokémon has fewer damage counters than that, remove all of them. If all 3 are heads, this attack does 60 damage. If all 3 are tails, remove all damage counters from the Defending Pokémon.",
neo3-6,Searing Flames,Discard 2 Fire Energy cards attached to Entei or this attack does nothing.,60
neo3-7,Stoke,You may search your deck for a Fire Energy card and attach it to Ho-Oh. Shuffle your deck afterward.,
neo3-7,Sacred Fire,"Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance.",
neo3-7,Dive Bomb,"Flip a coin. If tails, this attack does nothing.",90
neo3-8,Dark Flame,"Discard 1 Fire Energy card attached to Houndoom or this attack does nothing. If there are any Darkness Energy cards in your discard pile, attach 1 of them to Houndoom.",20
neo3-8,Black Fang,Flip a number of coins equal to the number of Darkness Energy attached to Houndoom. This attack does 30 damage plus 10 more damage for each heads.,30+
neo3-9,Evolutionary Spore,"Choose any number of your Hoppips and Skiplooms. Then, for each Pokémon you chose in this way, you may search your deck for a card that evolves from that Pokémon and attach it to that Pokémon. (This counts as evolving those Pokémon.) Shuffle your deck afterward.",
neo3-9,Solarbeam,,30
neo3-10,Plasma,"If there are any Lightning Energy cards in your discard pile, attach 1 of them to Magneton.",30
neo3-11,Night Eyes,The Defending Pokémon is now Asleep.,
neo3-11,Perish Song,"If the Defending Pokémon is Asleep and was attacked with Night Eyes during your last turn, it is Knocked Out.",
neo3-12,Delta Beam,"Flip a coin. If heads, choose whether the Defending Pokémon becomes Asleep, Confused, or Paralyzed.",20
neo3-13,Lightning Tackle,"Flip a coin. If tails, Raikou does 20 damage to itself.",50
neo3-14,Aurora Wave,"Flip 2 coins. If both are heads, the Defending Pokémon is now Paralyzed. If only 1 is heads, the Defending Pokémon is now Asleep.",30
neo3-15,Fly,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Aerodactyl. If tails, this attack does nothing (not even damage).",30
neo3-16,Psychic Leaf,"Flip a coin for each Energy attached to the Defending Pokémon. This attack does 10 damage plus 10 more damage for each heads. Remove a number of damage counters from Celebi equal to the damage done to the Defending Pokémon (after applying Weakness and Resistance). If Celebi has fewer damage counters than that, remove all of them.",10+
neo3-17,Mega Flame,"Flip 2 coins. For each tails, discard 1 Fire Energy card from Entei, if it has any.",50
neo3-18,Rainbow Burn,"This attack does 30 damage plus 10 more damage for each type of Basic Energy card, if any, attached to Ho-Oh.",30+
neo3-19,Genetic Memory,Use any attack from Kingdra's Basic Pokémon card or Evolution card. (Kingdra doesn't have to pay for that attack's Energy cost.),
neo3-19,Twister,"Flip 2 coins. For each heads, choose 1 Energy card attached to the Defending Pokémon, if any, and discard it. If both are tails, this attack does nothing (not even damage).",50
neo3-20,Aerowing,"You may flip a coin. If heads, this attack does 80 damage. If tails, this attack does nothing.",40
neo3-21,Thundershock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
neo3-21,Lightning Strike,"You may discard all Lightning Energy cards attached to Raichu. If you do, this attack does 80 damage.",40
neo3-22,Lightning Spark,"If your opponent has any Benched Pokémon, flip a coin. If heads, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",30
neo3-23,Fury Attack,Flip 2 coins. This attack does 10 damage times the number of heads.,10×
neo3-23,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Skarmory.",20
neo3-24,Swipe,"Flip a coin. If heads, discard all Trainer cards attached to your opponent's Pokémon.",
neo3-24,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage.",10+
neo3-25,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused.",10
neo3-25,Core Stream,Choose an Energy type other than Colorless. This attack does 20 damage to each of your opponent's Pokémon with any Energy cards of that type attached to it. Don't apply Weakness and Resistance.,
neo3-26,Slam,Flip 2 coins. This attack does 20 damage times the number of heads.,20×
neo3-27,Crystal Wave,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage. If tails, this attack does 30 damage and, if your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",30+
neo3-28,Electric Punch,,20
neo3-28,Tail Shock,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",30
neo3-29,Screech,"Until the end of your next turn, if an attack damages the Defending Pokémon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokémon.",
neo3-29,Poison Bite,"If this attack damages the Defending Pokémon, the Defending Pokémon is now Poisoned and you remove a number of damage counters from Golbat equal to half that damage (rounded up to the nearest 10). If Golbat has fewer damage counters than that, remove all of them. Either way, the Defending Pokémon is now Poisoned.",10
neo3-30,Earthquake,Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),40
neo3-30,Rock Tumble,Don't apply Resistance.,50
neo3-31,Freezing Kiss Goodnight,The Defending Pokémon is now Asleep.,
neo3-31,Strange Dance,"Flip a coin. If heads, this attack does 20 damage plus 20 more damage and the Defending Pokémon is now Confused. If tails, this attack does 20 damage.",20+
neo3-32,Blinding Light,"Flip a coin. If heads, the Defending Pokémon is now Confused.",30
neo3-33,Lava Flow,"You may discard any number of Fire Energy cards attached to Magcargo when you use this attack. If you do, this attack does 40 damage plus 20 more damage for each Fire Energy card you discarded in this way.",40+
neo3-34,Constrict,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
neo3-34,Octazooka,"Flip a coin. If heads, whenever the Defending Pokémon attacks, your opponent flips a coin. If tails, that attack does nothing. (Benching or evolving that Pokémon ends this effect.)",40
neo3-35,Sleep Pinchers,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",30
neo3-36,Nap,"Remove 3 damage counters from Piloswine. If it has fewer damage counters than that, remove all of them.",
neo3-36,High-Speed Charge,Piloswine does 30 damage to itself. Piloswine can't use this attack during your next turn.,80
neo3-37,Rising Lunge,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage. If tails, this attack does 10 damage.",10+
neo3-37,Horn Swipe,"Flip 2 coins. If both are heads, this attack does 20 damage plus 40 more damage. If 1 or both of them are tails, this attack does 20 damage.",20+
neo3-38,Terrorize,"If the Defending Pokémon is a Basic Pokémon, choose 1 of its attacks. That Pokémon can't use that attack during your opponent's next turn.",
neo3-38,Overhead Toss,"If you have any Benched Pokémon, flip a coin. If tails, this attack does 10 damage to 1 of them. (Don't apply Weakness and Resistance for Benched Pokémon.)",30
neo3-39,Hidden Power,,10
neo3-40,Hidden Power,,10
neo3-41,Grab,Choose a Trainer card attached to 1 of your opponent's Pokémon. Your opponent shuffles that card into his or her deck.,
neo3-41,Tail Punch,,20
neo3-42,Positive Ion,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage. If tails, this attack does 10 damage.",10+
neo3-42,Negative Ion,"If the Defending Pokémon attacks Chinchou during your opponent's next turn, any damage done to Chinchou is reduced by 10 (before applying Weakness and Resistance). (Benching or evolving either Pokémon ends this effect.)",10
neo3-43,Gust,,10
neo3-43,Leek Jab,This attack can't be used during your next turn. (Benching Farfetch'd ends this effect.),40
neo3-44,Knuckle Punch,,20
neo3-45,Fin Smack,Flip 2 coins. This attack does 10 damage times the number of heads.,10×
neo3-46,Call for Family,Search your deck for a Basic Pokémon card named Murkrow and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
neo3-46,Flock Attack,Flip a number of coins equal to the number of Murkrows on your Bench. This attack does 10 damage plus 10 more damage for each heads.,10+
neo3-47,Sleep Spore,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",10
neo3-47,Scratch,,20
neo3-48,Mud Slap,,30
neo3-48,Whirlpool,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",40
neo3-49,Poison Sting,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",10
neo3-49,Needle Storm,Flip a coin until you get tails. This attack does 20 damage times the number of heads you get.,20×
neo3-50,Sharpshooting,"Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. Don't apply Weakness and Resistance.",
neo3-51,Toxic Saliva,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).",
neo3-52,Hop,,20
neo3-52,Mysterious Powder,"Flip a coin. If heads, the Defending Pokémon is now Confused.",10
neo3-53,Flare,,10
neo3-53,Magma Ring,The Defending Pokémon can't retreat during your opponent's next turn.,20
